187.216.139.242:8181 MX
218.60.0.220:80 CN
132.145.95.6:18080 KR
185.55.70.230:80 DE
185.253.32.26:8080 RU
104.248.151.93:9090 SG
80.240.55.242:3128 RU
177.93.59.70:999 CO
79.175.176.254:3128 IR
31.133.0.163:33033 PL
136.60.0.212:80 US
88.87.78.95:8080 RU
146.190.80.158:9090 SG
128.199.253.195:9090 SG
192.99.169.19:8453 CA
91.107.196.188:3128 DE
128.199.254.13:9090 SG
109.195.113.65:8080 RU
128.199.113.85:9090 SG
128.199.119.67:9090 SG
116.80.84.43:3128 JP
60.217.33.47:9999 CN
222.108.214.168:8080 KR
116.103.26.136:3128 VN
182.140.146.149:3128 CN
