200.111.232.94:8080 CL
154.12.18.155:8080 US
5.189.239.157:80 RU
111.1.61.49:3128 CN
218.60.0.220:80 CN
186.125.218.153:999 AR
152.42.170.225:9090 SG
61.129.2.212:8080 CN
210.61.207.92:80 TW
180.56.154.198:8080 JP
45.187.105.213:8080 BR
14.225.8.195:3218 VN
128.199.121.61:9090 SG
84.255.35.210:9898 MT
203.190.46.127:8090 ID
58.9.2.49:5002 TH
101.251.204.174:8080 CN
152.42.170.187:9090 SG
152.166.69.34:8080 DO
119.95.182.57:8080 PH
181.78.22.109:999 CO
103.189.250.89:8090 ID
89.168.49.75:3128 FR
152.42.186.41:9090 SG
202.62.62.29:8080 KH
128.199.253.195:9090 SG
187.190.113.197:999 MX
188.132.150.164:8080 TR
199.48.129.114:3121 US
147.75.68.201:80 US
129.18.210.10:8080 NG
94.228.240.240:8080 RU
128.199.187.46:9090 SG
192.162.192.148:55443 RU
201.20.118.146:27234 BR
124.6.168.26:80 PH
103.171.244.47:8088 ID
91.26.124.18:3128 DE
150.107.136.205:39843 ID
103.125.174.27:8080 ID
64.6.8.5:8080 US
103.242.104.199:8090 ID
220.130.186.59:8080 TW
191.102.248.1:8084 AR
103.155.198.93:8181 ID
103.153.134.150:8080 ID
38.156.72.201:8080 TR
128.199.119.67:9090 SG
39.62.3.7:3127 PK
103.76.109.96:8080 ID
192.203.0.122:999 PR
203.150.128.13:8080 TH
43.134.68.153:3128 SG
190.120.249.61:999 VE
190.52.108.248:6666 VE
103.148.44.101:8080 ID
157.66.85.32:8080 ID
104.248.151.93:9090 SG
103.144.18.108:9000 ID
103.83.178.222:8080 ID
